SKU,Store,Bin,Bin Rank
217481,400317,LD-AB-G3-D3-D2-08-F,34151
217481,400317,LD-AB-G3-D3-D2-08-F,34151
204138,400317,LD-AB-G3-D3-D2-08-F,34151
49892,400317,LD-AB-G3-D3-D2-07-B,34154
5997,400317,LD-AB-G3-D3-D2-07-E,34157
210980,400317,LD-AB-G3-D3-D2-06-B,34161
219776,400317,LD-AB-G3-D3-D2-05-D,34165
23408,400317,LD-AB-G3-D3-D2-05-B,34166
21016,400317,LD-AB-G3-D3-D2-05-E,34169
18661,400317,LD-AB-G3-D3-D2-06-E,34170
18661,400317,LD-AB-G3-D3-D2-06-E,34170
775,400317,LD-AB-G3-D3-D2-06-C,34171
23408,400317,LD-AB-G3-D3-D2-06-C,34171
16530,400317,LD-AB-G3-D3-D2-03-A,34179
30808,400317,LD-AB-G3-D3-D2-04-A,34184
26825,400317,LD-AB-G3-D3-D2-02-F,34187
86005,400317,LD-AB-G3-D3-D2-02-F,34187
16530,400317,LD-AB-G3-D3-D2-02-F,34187
256173,400317,LD-AB-G3-D3-D2-01-E,34193
44576,400317,LD-AB-G3-D3-D2-02-C,34195
23408,400317,LD-AB-G3-D3-D2-02-C,34195
23408,400317,LD-AB-G3-D3-D2-02-C,34195
21324,400317,LD-AB-G3-D3-D2-02-A,34196
21324,400317,LD-AB-G3-D3-D2-02-A,34196
23248,400317,LD-AC-G3-D3-D3-01-C,34201
84078,400317,LD-AC-G3-D3-D3-01-C,34201
84078,400317,LD-AC-G3-D3-D3-01-C,34201
18174,400317,LD-AC-G3-D3-D3-01-C,34201
18174,400317,LD-AC-G3-D3-D3-01-C,34201
210458,400317,LD-AC-G3-D3-D3-01-B,34203
26406,400317,LD-AC-G3-D3-D3-01-D,34204
245539,400317,LD-AC-G3-D3-D3-02-B,34208
144643,400317,LD-AC-G3-D3-D3-03-E,34212
247362,400317,LD-AC-G3-D3-D3-03-B,34215
259116,400317,LD-AC-G3-D3-D3-04-D,34219
267215,400317,LD-AC-G3-D3-D3-06-E,34223
25496,400317,LD-AC-G3-D3-D3-05-E,34224
29782,400317,LD-AC-G3-D3-D3-06-F,34230
118299,400317,LD-AC-G3-D3-D3-06-F,34230
241376,400317,LD-AC-G3-D3-D3-07-E,34236
20691,400317,LD-AC-G3-D3-D3-07-A,34238
135795,400317,LD-AC-G3-D3-D3-07-A,34238
5395,400317,LD-AC-G3-D3-D3-08-D,34243
177242,400317,LD-AC-G3-D3-D3-10-A,34245
41490,400317,LD-AC-G3-D3-D3-10-E,34247
131278,400317,LD-AC-G3-D3-D3-09-A,34250
255354,400317,LD-AC-G3-D3-D3-09-A,34250
255354,400317,LD-AC-G3-D3-D3-09-A,34250
102105,400317,LD-AC-G3-D3-D3-09-B,34251
26342,400317,LD-AC-G3-D3-D3-10-F,34254
219703,400317,LD-AC-G3-D3-D3-11-B,34263
75142,400317,LD-AC-G3-D3-D3-11-D,34264
7535,400317,LD-AC-G3-D3-D3-12-D,34267
53202,400317,LD-AC-G3-D3-D3-14-E,34271
20761,400317,LD-AC-G3-D3-D3-13-E,34272
17366,400317,LD-AC-G3-D3-D3-13-B,34275
219703,400317,LD-AC-G3-D3-D3-13-B,34275
150030,400317,LD-AC-G3-D3-D3-13-D,34276
5243,400317,LD-AC-G3-D3-D3-14-F,34278
23757,400317,LD-AC-G3-D3-D3-14-D,34279
16293,400317,LD-AC-G3-D3-D3-14-B,34280
34245,400317,LD-AC-G3-D3-D3-14-B,34280
46236,400317,LD-AC-G3-D3-D3-16-B,34292
23844,400317,LD-AD-G3-D3-D4-18-B,34293
16517,400317,LD-AD-G3-D3-D4-18-D,34294
24471,400317,LD-AD-G3-D3-D4-18-F,34295
20704,400317,LD-AD-G3-D3-D4-17-D,34297
245306,400317,LD-AD-G3-D3-D4-17-B,34298
29163,400317,LD-AD-G3-D3-D4-18-C,34303
32467,400317,LD-AD-G3-D3-D4-18-A,34304
32467,400317,LD-AD-G3-D3-D4-18-A,34304
14568,400317,LD-AD-G3-D3-D4-16-D,34306
169159,400317,LD-AD-G3-D3-D4-16-D,34306
23018,400317,LD-AD-G3-D3-D4-15-B,34310
80056,400317,LD-AD-G3-D3-D4-16-A,34316
28036,400317,LD-AD-G3-D3-D4-14-B,34317
22371,400317,LD-AD-G3-D3-D4-14-D,34318
91211,400317,LD-AD-G3-D3-D4-14-D,34318
8952,400317,LD-AD-G3-D3-D4-13-A,34323
94635,400317,LD-AD-G3-D3-D4-14-C,34327
94635,400317,LD-AD-G3-D3-D4-14-C,34327
94635,400317,LD-AD-G3-D3-D4-14-C,34327
18317,400317,LD-AD-G3-D3-D4-14-A,34328
26286,400317,LD-AD-G3-D3-D4-14-A,34328
202510,400317,LD-AD-G3-D3-D4-12-D,34330
8329,400317,LD-AD-G3-D3-D4-12-F,34331
15134,400317,LD-AD-G3-D3-D4-11-D,34333
15134,400317,LD-AD-G3-D3-D4-11-D,34333
