picker_id,shift,picklists_assigned,utilization
0,Night Shift 1,5,1.0
1,Night Shift 1,5,1.0
2,Night Shift 1,5,1.0
3,Night Shift 1,6,1.0
4,Night Shift 1,4,1.0
5,Night Shift 1,6,1.0
6,Night Shift 1,5,1.0
7,Night Shift 1,7,1.0
8,Night Shift 1,5,1.0
9,Night Shift 1,4,1.0
10,Night Shift 1,4,1.0
11,Night Shift 1,4,1.0
12,Night Shift 1,4,1.0
13,Night Shift 1,5,1.0
14,Night Shift 1,4,1.0
15,Night Shift 1,5,1.0
16,Night Shift 1,5,1.0
17,Night Shift 1,5,1.0
18,Night Shift 1,4,1.0
19,Night Shift 1,6,1.0
20,Night Shift 1,4,1.0
21,Night Shift 1,5,1.0
22,Night Shift 1,5,1.0
23,Night Shift 1,5,1.0
24,Night Shift 1,5,1.0
25,Night Shift 1,5,1.0
26,Night Shift 1,4,1.0
27,Night Shift 1,5,1.0
28,Night Shift 1,4,1.0
29,Night Shift 1,5,1.0
30,Night Shift 1,4,1.0
31,Night Shift 1,5,1.0
32,Night Shift 1,4,1.0
33,Night Shift 1,4,1.0
34,Night Shift 1,4,1.0
35,Night Shift 1,4,1.0
36,Night Shift 1,3,1.0
37,Night Shift 1,4,1.0
38,Night Shift 1,3,1.0
39,Night Shift 1,5,1.0
40,Night Shift 1,4,1.0
41,Night Shift 1,4,1.0
42,Night Shift 1,4,1.0
43,Night Shift 1,5,1.0
44,Night Shift 1,5,1.0
45,Night Shift 2,5,1.0
46,Night Shift 2,5,1.0
47,Night Shift 2,5,1.0
48,Night Shift 2,5,1.0
49,Night Shift 2,5,1.0
50,Night Shift 2,5,1.0
51,Night Shift 2,4,1.0
52,Night Shift 2,5,1.0
53,Night Shift 2,5,1.0
54,Night Shift 2,7,1.0
55,Night Shift 2,6,1.0
56,Night Shift 2,6,1.0
57,Night Shift 2,6,1.0
58,Night Shift 2,5,1.0
59,Night Shift 2,5,1.0
60,Night Shift 2,4,1.0
61,Night Shift 2,4,1.0
62,Night Shift 2,6,1.0
63,Night Shift 2,5,1.0
64,Night Shift 2,6,1.0
65,Night Shift 2,5,1.0
66,Night Shift 2,5,1.0
67,Night Shift 2,7,1.0
68,Night Shift 2,5,1.0
69,Night Shift 2,5,1.0
70,Night Shift 2,6,1.0
71,Night Shift 2,5,1.0
72,Night Shift 2,5,1.0
73,Night Shift 2,5,1.0
74,Night Shift 2,5,1.0
75,Night Shift 2,5,1.0
76,Night Shift 2,5,1.0
77,Night Shift 2,6,1.0
78,Night Shift 2,5,1.0
79,Night Shift 2,5,1.0
