Picklist_date,picklist_no,picklist_type,stores_in_picklist
2025_12_08,00001,multi_order,394957
2025_12_08,00002,multi_order,394957
2025_12_08,00003,multi_order,394957
2025_12_08,00004,multi_order,394957
2025_12_08,00005,multi_order,394957
2025_12_08,00006,multi_order,394957
2025_12_08,00007,multi_order,394957
2025_12_08,00008,multi_order,394957
2025_12_08,00009,multi_order,394957
2025_12_08,00010,multi_order,"394957,395059"
2025_12_08,00011,multi_order,395059
2025_12_08,00012,multi_order,395059
2025_12_08,00013,multi_order,"395059,395106"
2025_12_08,00014,multi_order,395106
2025_12_08,00015,multi_order,"395106,397205"
2025_12_08,00016,multi_order,397205
2025_12_08,00017,multi_order,397205
2025_12_08,00018,multi_order,397205
2025_12_08,00019,multi_order,397205
2025_12_08,00020,multi_order,"397205,398693"
2025_12_08,00021,multi_order,398693
2025_12_08,00022,multi_order,398693
2025_12_08,00023,multi_order,398693
2025_12_08,00024,multi_order,398693
2025_12_08,00025,multi_order,398693
2025_12_08,00026,multi_order,398693
2025_12_08,00027,multi_order,398693
2025_12_08,00028,multi_order,398693
2025_12_08,00029,multi_order,398693
2025_12_08,00030,multi_order,398693
2025_12_08,00031,multi_order,398693
2025_12_08,00032,multi_order,398693
2025_12_08,00033,multi_order,"398693,398939"
2025_12_08,00034,multi_order,398939
2025_12_08,00035,multi_order,398939
2025_12_08,00036,multi_order,398939
2025_12_08,00037,multi_order,398939
2025_12_08,00038,multi_order,398939
2025_12_08,00039,multi_order,398939
2025_12_08,00040,multi_order,"398939,400263"
2025_12_08,00041,multi_order,400263
2025_12_08,00042,multi_order,400263
2025_12_08,00043,multi_order,"400263,400317"
2025_12_08,00044,multi_order,"400317,400356"
2025_12_08,00045,multi_order,400356
2025_12_08,00046,multi_order,400356
2025_12_08,00047,multi_order,"400356,400357"
2025_12_08,00048,multi_order,400357
2025_12_08,00049,multi_order,"400357,400907"
2025_12_08,00050,multi_order,400907
2025_12_08,00051,multi_order,"400907,401063"
2025_12_08,00052,multi_order,401063
2025_12_08,00053,multi_order,401063
2025_12_08,00054,multi_order,401063
2025_12_08,00055,multi_order,394957
2025_12_08,00056,multi_order,394957
2025_12_08,00057,multi_order,394957
2025_12_08,00058,multi_order,394957
2025_12_08,00059,multi_order,"394957,395059"
2025_12_08,00060,multi_order,"395059,395106"
2025_12_08,00061,multi_order,395106
2025_12_08,00062,multi_order,"395106,397205"
2025_12_08,00063,multi_order,397205
2025_12_08,00064,multi_order,"397205,398693"
