zone,num_picklists,total_units,total_weight_kg,num_unique_orders,num_unique_stores,fragile_picklists
combo_9,55,84799,10740.27,377,13,0
combo_11,26,41096,5106.96,370,12,0
combo_8,55,30606,10669.65,375,13,0
CICO_G2,15,26457,2010.38,162,7,0
STAPLES,50,19978,9713.95,209,8,0
H_STAPLES,58,5788,10540.41,125,7,0
DL+CL,20,5380,3623.41,336,13,0
CICO_FD,22,5093,1006.06,168,7,22
CD_CICO,3,1170,344.32,22,3,0
FRAGILE_FD,6,925,258.98,29,3,6
ATTA,14,895,2449.52,51,4,0
CICO_OIL,2,576,340.38,19,2,0
combo_1,30,552,5416.0,31,7,0
CHOCOLATES,1,525,40.89,7,1,0
DP+DB,2,480,297.43,6,1,0
DIAPERS,2,354,284.54,7,1,0
combo_6,1,300,71.31,7,1,0
HNK_LARGE,1,230,82.65,21,2,0
HVAL_APPG1,3,169,44.01,23,3,0
SPICES&DAL,2,146,43.34,22,2,0
REB_G1_FD,2,140,52.9,14,2,2
REB_FD_G0,3,96,101.72,21,3,3
M&S_2,1,81,48.76,20,2,0
FMCG_FOOD1,1,78,18.16,27,1,0
GOLD,6,60,0.42,18,6,0
combo_7,1,56,19.58,4,1,0
combo_10,1,54,31.03,12,2,0
HVAL_APP_2,4,35,27.64,20,4,0
SAMPLE,2,4,24.8,3,2,0
FMCG_FOOD2,1,2,0.2,1,1,0
